4	J	2516
13	J	2527
4	R	2527
4	W	2527
9	R	2527
9	W	2532
12	R	2532
12	J	2547
13	R	2547
4	J	2550
13	J	2562
4	R	2562
4	W	2562
12	R	2562
4	J	2570
10	J	2577
12	J	2577
10	R	2577
10	E	2577
1	J	2577
4	R	2577
4	W	2577
1	R	2577
1	W	2577
4	J	2577
4	R	2577
4	W	2577
13	R	2577
13	J	2592
12	R	2592
7	J	2607
12	J	2607
7	R	2607
14	N	2607
14	J	2607
15	N	2608
15	J	2608
16	N	2608
16	J	2608
7	E	2609
1	J	2609
1	R	2609
1	W	2609
16	R	2609
16	J	2624
15	R	2624
9	J	2639
15	J	2639
9	R	2639
17	N	2639
17	J	2639
9	E	2640
1	J	2640
1	R	2640
1	W	2640
14	R	2640
14	W	2640
17	R	2640
17	J	2655
16	R	2655
16	J	2670
13	R	2670
13	J	2685
15	R	2685
15	J	2700
17	R	2700
17	J	2715
12	R	2715
12	J	2730
16	R	2730
14	J	2745
16	J	2745
14	R	2745
14	W	2745
13	R	2745
13	W	2755
15	R	2755
15	J	2770
17	R	2770
17	J	2785
12	R	2785
12	W	2795
16	R	2795
16	J	2810
15	R	2810
15	J	2825
17	R	2825
17	J	2840
16	R	2840
14	J	2855
16	J	2855
14	R	2855
14	W	2855
15	R	2855
13	J	2870
15	J	2870
13	R	2870
13	W	2870
17	R	2870
17	J	2885
16	R	2885
12	J	2900
16	J	2900
12	R	2900
12	J	2926
15	R	2926
15	J	2941
17	R	2941
14	J	2956
17	J	2956
14	R	2956
14	W	2956
16	R	2956
16	W	2966
15	R	2966
15	W	2976
13	J	2976
13	R	2976
13	W	2976
17	R	2976
17	W	2986
12	R	2986
12	W	3060
14	J	3060
14	R	3060
14	W	3060
0	R	3060
